里程碑编号,里程碑名称,任务编号,任务名称,责任人,执行人,工作项状态,计划开始时间,计划完成时间,计划工期,备注,实际开始时间,实际完成时间,实际工期
3.4.1.1,电气工程,3.4.1.1.1,配电箱2-3nALEuL3e301 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.1,电气工程,3.4.1.1.2,配电箱2-3nALEuL3e302 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.1,电气工程,3.4.1.1.3,配电箱2-3nALEuL3e301.1 1.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.1,电气工程,3.4.1.1.4.1,热镀锌桥架（315 米）,,杨智,逾期,,,,,,,
3.4.1.1,电气工程,3.4.1.1.5,支架制作安装 764.00 kg,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.1,电气工程,3.4.1.1.6.1,金属圆管（100 米）,,杨智,逾期,,,,,,,
3.4.1.1,电气工程,3.4.1.1.7.1,金属圆管（170 米）,,杨智,逾期,,,,,,,
3.4.1.1,电气工程,3.4.1.1.8.1,镀锌钢管（862 米）,,杨智,逾期,,,,,,,
3.4.1.1,电气工程,3.4.1.1.9.1,金属镀锌穿线管（73 米）,,杨智,逾期,,,,,,,
3.4.1.1,电气工程,3.4.1.1.10.1,金属镀锌穿线管（36 米）,,杨智,逾期,,,,,,,
3.4.1.1,电气工程,3.4.1.1.11,送配电装置系统调试1KV 4.00 系统,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.1,电气工程,3.4.1.1.12,电力电缆WDZB1-YJY-0.6/1KV-4x95+1x50mm2 400.00 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
3.4.1.1,电气工程,3.4.1.1.13,电力电缆WDZB1-YJY-0.6/1KV-5*10mm2 20.00 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
3.4.1.1,电气工程,3.4.1.1.14,室内冷缩铜芯电缆头(截面积120mm2以下) 8.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.1,电气工程,3.4.1.1.15,室内干包铜芯电缆头(截面积10mm2以下) 4.00 个,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.1,电气工程,3.4.1.1.16,配线WDZB1-BYJ-25 150.81 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
3.4.1.1,电气工程,3.4.1.1.17,配线WDZB1-BYJ-16 75.41 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
3.4.1.1,电气工程,3.4.1.1.18,配线WDZB1-BYJ-10 725.95 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
3.4.1.1,电气工程,3.4.1.1.19,配线WDZB1-BYJ-6 2089.26 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
3.4.1.1,电气工程,3.4.1.1.20,配线WDZB1-BYJ-4 17549.47 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
3.4.1.1,电气工程,3.4.1.1.21,配线WDZB1-BYJ-2.5 739.88 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
3.4.1.1,电气工程,3.4.1.1.22,配线WDZB1-BYJ-1.5 739.88 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
3.4.1.1,电气工程,3.4.1.1.23,配线WDZC-BYJ-4 240.30 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：重庆泰山电缆有限公司、重庆鸽牌电线电缆有限公司、渝丰科技股份有限公司,,,
3.4.1.1,电气工程,3.4.1.1.24.1,机房装修工程（1 项）,,杨智,逾期,,,,,,,
3.4.1.1,电气工程,3.4.1.1.25,"单相二极加三极插座250V,10A 55.00 个",张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.1,电气工程,3.4.1.1.26,"单联跷板开关250V,10A 2.00 个",张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.1,电气工程,3.4.1.1.27,"双联跷板开关250V,10A 1.00 个",张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.1,电气工程,3.4.1.1.28,LED一体化支架灯 8.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.2,空调工程,3.4.1.2.1,基站空调UAC5.0 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.2,空调工程,3.4.1.2.2,基站空调UAC3.0 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.1.1,核辐射检测系统（通道式）（6 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.1.2,MVCM1011 V2红外成像测温仪（ 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.1.3,MVCM1011 V2红外成像测温仪模组（ 台）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.1.4,MVCUS1367-D(S)V3海关手提行李风险拦截通道（单通道）-右主边（3 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.1.5,MVCUS1367-D(S)V3海关手提行李风险拦截通道（单通道）-左主边（3 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.1.6,MVCUS1367-D海关手提行李风险拦截通道-中副边（3 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.1.7,MVCM1011 V2红外成像测温仪模组（ 台）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.1.8,核辐射检测系统（通道式）（ 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.1.9,MVCM1022-065X射线检查系统（双视角）（6 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.1.10,MVCM1022-065X射线检查系统（双视角）-包装木托（6 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.1.11,工控机（6 台）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.1.12,X光机结构件补件（1 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.1.13,MVCM1011 V2红外成像测温仪（6 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.2.1,MVCM1011 V2红外成像测温仪模组（ 台）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.2.2,核辐射检测系统（通道式）（4 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.2.3,MVCM1011 V2红外成像测温仪（ 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.2.4,MVCM1011 V2红外成像测温仪（4 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.2.5,MVCM1011 V2红外成像测温仪模组（ 台）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.2.6,核辐射检测系统（通道式）（ 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.3,一体查验通道应用服务器 2.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：华为、浪潮、联想注意事项：国产服务器，考虑国产中间件，国产数据库，国产操作系统等第三方软件,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.4,海关智慧通关平台软件 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.5,红外NVR存储 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：大华、海康威视、华为,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.6,海关申报自助终端（含申报信息校准容错功能） 4.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.7,硬隔离 5.00 m,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.8,健康咨询台 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.9.1,MVCUS1310-A5海关查验申报台（1 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.10.1,MVCUS1320-A5海关行李开包查验台（1 台）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.10.2,MVCUS1320-A5海关行李开包查验台-指示牌结构（1 套）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.10.3,透明强力双面胶（6 张）,,,逾期,,,,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.11,海关申报台 1.00 套,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,,,,
3.4.1.3,海关监管设施设备工程,3.4.1.3.1.12,查验工作站 2.00 台,张同永,郑富兰,逾期,2025-12-05,2025-12-10,6,甲方品牌库：长城、华为、联想,,,
